start,stop,ligne
CHAUSSEEDANTINLAFAYETTE,HAVRECAUMARTIN,9
RICHELIEUDROUOT,CHAUSSEEDANTINLAFAYETTE,9
GRANDSBOULEVARDS,RICHELIEUDROUOT,9
BONNENOUVELLE,GRANDSBOULEVARDS,9
STRASBOURGSTDENIS,BONNENOUVELLE,9
REPUBLIQUE,STRASBOURGSTDENIS,9
OBERKAMPF,REPUBLIQUE,9
STAMBROISE,OBERKAMPF,9
VOLTAIRE,STAMBROISE,9
CHARONNE,VOLTAIRE,9
RUEDESBOULETS,CHARONNE,9
NATION,RUEDESBOULETS,9
BUZENVAL,NATION,9
MARAICHERS,BUZENVAL,9
PORTEDEMONTREUIL,MARAICHERS,9
ROBESPIERRE,PORTEDEMONTREUIL,9
CROIXDECHAVAUX,ROBESPIERRE,9
MAIRIEDEMONTREUIL,CROIXDECHAVAUX,9
BOULOGNEPONTDESTCLOUD,BOULOGNEJEANJAURES,10
MICHELANGEMOLITOR,CHARDONLAGACHE,10
CHARDONLAGACHE,MIRABEAU,10
JAVELANDRECITROEN,CHARLESMICHELS,10
CHARLESMICHELS,AVENUEEMILEZOLA,10
AVENUEEMILEZOLA,LAMOTTEPICQUETGRENELLE,10
LAMOTTEPICQUETGRENELLE,SEGUR,10
SEGUR,DUROC,10
DUROC,VANEAU,10
VANEAU,SEVRESBABYLONE,10
SEVRESBABYLONE,MABILLON,10
MABILLON,ODEON,10
ODEON,CLUNYLASORBONNE,10
CLUNYLASORBONNE,MAUBERTMUTUALITE,10
MAUBERTMUTUALITE,CARDINALLEMOINE,10
CARDINALLEMOINE,JUSSIEU,10
JUSSIEU,GAREDAUSTERLITZ,10
BOULOGNEJEANJAURES,MICHELANGEMOLITOR,10
JAVELANDRECITROEN,EGLISEDAUTEUIL,10
BOULOGNEJEANJAURES,BOULOGNEPONTDESTCLOUD,10
MICHELANGEAUTEUIL,PORTEDAUTEUIL,10
EGLISEDAUTEUIL,MICHELANGEAUTEUIL,10
CHARLESMICHELS,JAVELANDRECITROEN,10
AVENUEEMILEZOLA,CHARLESMICHELS,10
LAMOTTEPICQUETGRENELLE,AVENUEEMILEZOLA,10
SEGUR,LAMOTTEPICQUETGRENELLE,10
DUROC,SEGUR,10
VANEAU,DUROC,10
SEVRESBABYLONE,VANEAU,10
MABILLON,SEVRESBABYLONE,10
ODEON,MABILLON,10
CLUNYLASORBONNE,ODEON,10
MAUBERTMUTUALITE,CLUNYLASORBONNE,10
CARDINALLEMOINE,MAUBERTMUTUALITE,10
JUSSIEU,CARDINALLEMOINE,10
GAREDAUSTERLITZ,JUSSIEU,10
PORTEDAUTEUIL,BOULOGNEJEANJAURES,10
MIRABEAU,JAVELANDRECITROEN,10
CHATELET,HOTELDEVILLE,11
HOTELDEVILLE,RAMBUTEAU,11
RAMBUTEAU,ARTSETMETIERS,11
ARTSETMETIERS,REPUBLIQUE,11
REPUBLIQUE,GONCOURT,11
GONCOURT,BELLEVILLE,11
BELLEVILLE,PYRENEES,11
PYRENEES,JOURDAIN,11
JOURDAIN,PLACEDESFETES,11
PLACEDESFETES,TELEGRAPHE,11
TELEGRAPHE,PORTEDESLILAS,11
PORTEDESLILAS,MAIRIEDESLILAS,11
HOTELDEVILLE,CHATELET,11
RAMBUTEAU,HOTELDEVILLE,11
ARTSETMETIERS,RAMBUTEAU,11
REPUBLIQUE,ARTSETMETIERS,11
GONCOURT,REPUBLIQUE,11
BELLEVILLE,GONCOURT,11
PYRENEES,BELLEVILLE,11
JOURDAIN,PYRENEES,11
PLACEDESFETES,JOURDAIN,11
TELEGRAPHE,PLACEDESFETES,11
PORTEDESLILAS,TELEGRAPHE,11
MAIRIEDESLILAS,PORTEDESLILAS,11
FRONTPOPULAIRE,PORTEDELACHAPELLE,12
PORTEDELACHAPELLE,MARXDORMOY,12
MARXDORMOY,MARCADETPOISSONNIERS,12
MARCADETPOISSONNIERS,JULESJOFFRIN,12
JULESJOFFRIN,LAMARCKCAULAINCOURT,12
LAMARCKCAULAINCOURT,ABBESSES,12
ABBESSES,PIGALLE,12
PIGALLE,STGEORGES,12
STGEORGES,NOTREDAMEDELORETTE,12
NOTREDAMEDELORETTE,TRINITEDESTIENNEDORVES,12
TRINITEDESTIENNEDORVES,STLAZARE,12
STLAZARE,MADELEINE,12
MADELEINE,CONCORDE,12
CONCORDE,ASSEMBLEENATIONALE,12
ASSEMBLEENATIONALE,SOLFERINO,12
SOLFERINO,RUEDUBAC,12
RUEDUBAC,SEVRESBABYLONE,12
SEVRESBABYLONE,RENNES,12
RENNES,NOTREDAMEDESCHAMPS,12
NOTREDAMEDESCHAMPS,MONTPARNASSEBIENVENUE,12
MONTPARNASSEBIENVENUE,FALGUIERE,12
FALGUIERE,PASTEUR,12
PASTEUR,VOLONTAIRES,12
VOLONTAIRES,VAUGIRARD,12
VAUGIRARD,CONVENTION,12
CONVENTION,PORTEDEVERSAILLES,12
PORTEDEVERSAILLES,CORENTINCELTON,12
CORENTINCELTON,MAIRIEDISSY,12
PORTEDELACHAPELLE,FRONTPOPULAIRE,12
MARXDORMOY,PORTEDELACHAPELLE,12
MARCADETPOISSONNIERS,MARXDORMOY,12
JULESJOFFRIN,MARCADETPOISSONNIERS,12
LAMARCKCAULAINCOURT,JULESJOFFRIN,12
ABBESSES,LAMARCKCAULAINCOURT,12
PIGALLE,ABBESSES,12
STGEORGES,PIGALLE,12
NOTREDAMEDELORETTE,STGEORGES,12
TRINITEDESTIENNEDORVES,NOTREDAMEDELORETTE,12
STLAZARE,TRINITEDESTIENNEDORVES,12
MADELEINE,STLAZARE,12
CONCORDE,MADELEINE,12
ASSEMBLEENATIONALE,CONCORDE,12
SOLFERINO,ASSEMBLEENATIONALE,12
RUEDUBAC,SOLFERINO,12
