nom_clean,nom_gare,x,y,Trafic,Ville,ligne
PERELACHAISE,Père Lachaise,655072.126,6862687.687000001,4882748,Paris,3
PERNETY,Pernéty,649943.7106,6859536.3792,3310917,Paris,13
PHILIPPEAUGUSTE,Philippe Auguste,655224.2451,6862220.8679,1922463,Paris,2
PICPUS,Picpus,656061.0276,6860723.8589,1404477,Paris,6
PIERREETMARIECURIE,Pierre Curie,654272.5743,6857498.469,1608512,Ivry,7
PIGALLE,Pigalle,651399.4773,6864912.0033,5949716,Paris,2
PIGALLE,Pigalle,651399.4773,6864912.0033,5949716,Paris,12
PLACEDECLICHY,Place de Clichy,650707.2389,6865054.0589999985,8769157,Paris,2
PLACEDECLICHY,Place de Clichy,650707.2389,6865054.0589999985,8769157,Paris,13
PLACEDESFETES,Place des Fêtes,655478.7954,6864274.2381,2987172,Paris,11
PLACEDESFETES,Place des Fêtes,655478.7954,6864274.2381,2987172,Paris,7bis
PLACEDITALIE,Place d'Italie,652693.7822,6859183.7267,11508361,Paris,5
PLACEDITALIE,Place d'Italie,652693.7822,6859183.7267,11508361,Paris,6
PLACEDITALIE,Place d'Italie,652693.7822,6859183.7267,11508361,Paris,7
PLACEMONGE,Place Monge (Jardin des Plantes),652458.3099,6860508.2454,3134478,Paris,7
PLAISANCE,Plaisance,649651.2929,6859304.204,5091432,Paris,13
POINTEDULAC,Créteil-Pointe du Lac,660647.1686,6852201.7355,2924153,Créteil,8
POISSONNIERE,Poissonnière,652274.7082,6864331.6119,3704783,Paris,7
PONTDELEVALLOISBECON,Pont de Levallois-Bécon,647199.4721,6866664.741,5374925,Levallois-Perret,3
PONTDENEUILLY,Pont de Neuilly (Avenue de Madrid),645771.287,6865219.7485,7127658,Neuilly Sur Seine,1
PONTDESEVRES,Pont de Sèvres,643532.6156,6859121.418,5332900,Boulogne Billancourt,9
PONTMARIE,Pont Marie (Cité des Arts),652830.3951,6861695.9829,1769299,Paris,7
PONTNEUF,Pont Neuf (La Monnaie),651739.5237,6862258.5537,1613273,Paris,7
PORTEDAUPHINE,Porte Dauphine,646972.7506,6863736.1283,3119154,Paris,2
PORTEDAUTEUIL,Porte d'Auteuil,645529.7326,6861136.8657,652631,Paris,10
PORTEDEBAGNOLET,Porte de Bagnolet,656572.0977,6862892.6803,4347994,Paris,3
PORTEDECHAMPERRET,Porte de Champerret,648123.8929,6865318.8375,3431010,Paris,3
PORTEDECHARENTON,Porte de Charenton,656062.6699,6859400.7586,2262053,Paris,8
PORTEDECHOISY,Porte de Choisy,653340.9723,6857944.6053,2943551,Paris,7
PORTEDECLICHY,Porte de Clichy,649685.9141,6866245.7339,4410686,Paris,13
PORTEDECLIGNANCOURT,Porte de Clignancourt,651967.2227,6866576.6415,8050206,Paris,4
PORTEDELACHAPELLE,Porte de la Chapelle,653041.8705,6866550.3731,2673189,Paris,12
PORTEDELAVILLETTE,Porte de la Villette,654948.2026,6866551.3039,4162037,Paris,7
PORTEDEMONTREUIL,Porte de Montreuil,656753.3202,6861661.8646,4735534,Paris,9
PORTEDEPANTIN,Porte de Pantin,655424.858,6865559.4508,5377661,Paris,5
PORTEDESLILAS,Porte des Lilas,656468.8342,6864291.7286,3868367,Paris,11
PORTEDESLILAS,Porte des Lilas,656468.8342,6864291.7286,3868367,Paris,3bis
PORTEDESTCLOUD,Porte de Saint-Cloud,645473.5838,6860024.2597,5386794,Paris,9
